abrasives; Abrasives  
detergents-soaps; Detergents  Soaps; 
diamond-jewellery; Diamond  ; Jewellery; 
diversified; Diversified; 
diversified-chemicals; Diversified Chemicals; 
domestic-appliances; Domestic Appliances; 
dyes-pigments; Dyes  Pigments; 
educational-institutions; Educational Institutions; 
electric-equipment; Electric Equipment; 
electric-equipment-boilers-turbines; Electric Equipment - Boilers / Turbines; 
electric-equipment-switchgears; Electric Equipment - Switchgears; 
electric-equipment-transformers; Electric Equipment - Transformers; 
electrodes-electrical-equipments; Electrodes  Electrical Equipments; 
electrodes-welding-equipment; Electrodes  Welding Equipment; 
electronic-goods; Electronic Goods; 
electronics-components; Electronics - Components; 
engineering; Engineering; 
engineering-construction; Engineering  Construction; 
engineering-construction; Engineering - Construction; 
engineering-industrial-equipments; Engineering - Industrial Equipments; 
etf; ETF; 
fasteners; Fasteners; 
ferro-manganese; Ferro Manganese; 
fertilizers; Fertilizers; 
film-production-distribution-entertainment; Film Production, Distribution  Entertainment; 
finance-housing; Finance - Housing; 
finance-investment; Finance - Investment; 
finance-nbfc; Finance - NBFC; 
finance-others; Finance - Others; 
finance-stock-broking; Finance - Stock Broking; 
finance-term-lending; Finance Term Lending; 
fishpoultry-meat-products; Fish/Poultry  Meat Products; 
food-drug-retailing; Food  Drug Retailing; 
food-processing; Food Processing; 
footwear; Footwear; 
gas-distribution; Gas Distribution; 
glass-glass-products; Glass  Glass Products; 
gold; Gold; 
gold-etf; Gold ETF; 
ground-freight-logistics-services; Ground Freight  Logistics Services; 
hospital-healthcare-services; Hospital  Healthcare Services; 
hotel-resort-restaurants; Hotel, Resort  Restaurants; 
household-personal-products; Household  Personal Products; 
infrastructure; Infrastructure; 
iron-steel; Iron  Steel; 
it-education; IT - Education; 
it-networking; IT - Networking; 
it-services-consulting; IT Services  Consulting; 
labs-life-sciences-services; Labs  Life Sciences Services; 
laminatesdecoratives; Laminates/Decoratives; 
leather; Leather; 
leisure-services; Leisure Services; 
life-health-insurance; Life  Health Insurance; 
logistics; Logistics; 
lpg; LPG; 
lubricants; Lubricants; 
media; Media; 
medical-equipmentsuppliesaccessories; Medical Equipment/Supplies/Accessories; 
metals-mining; Metals  Mining; 
metals-castingsforgings; Metals - Castings/Forgings; 
metals-non-ferrous; Metals - Non Ferrous; 
misc-commercial-services; Misc. Commercial Services; 
miscellaneous; Miscellaneous; 
multiline-insurance-brokers; Multiline Insurance  Brokers; 
oil-exploration-and-production; Oil Exploration and Production; 
online-services; Online Services; 
other-agriculture-products; other agriculture products; 
other-construction-materials; Other Construction Materials; 
others-industrial-gases-fuels; Others-Industrial Gases  Fuels; 
others-manufacturing; Others-Manufacturing; 
packaging-films; Packaging - Films; 
packaging-packaging-materials; Packaging - Packaging Materials; 
packaging-polyfilms; Packaging - Polyfilms; 
packaging-sacks-and-bags; Packaging - Sacks and Bags; 
packaging-materials-containers-packaging; Packaging Materials-Containers  Packaging; 
packaging-materials-plastic-products; Packaging Materials-Plastic Products; 
paints; Paints; 
paper-forest-products; Paper  Forest Products; 
paper-paper-products; Paper  Paper Products; 
pesticides-agrochemicals; Pesticides  Agrochemicals; 
pharmaceuticals-drugs; Pharmaceuticals  Drugs; 
photographic-products; Photographic Products; 
plastic-products; Plastic Products; 
plastic-products-others; Plastic Products - Others; 
plastics-moulded-articles-and-furnitures; Plastics - Moulded Articles and Furnitures; 
plastics-pet-bottels-jars-containers; Plastics - Pet Bottels, Jars  Containers; 
plastics-self-adhesive-tapes; Plastics - Self Adhesive Tapes; 
plastics-thermoplastics; Plastics - Thermoplastics; 
plastics-tubespipeshoses-fittings; Plastics - Tubes/Pipes/Hoses  Fittings; 
ports; Ports; 
power-generationdistribution; Power Generation/Distribution; 
printing-publishing; Printing  Publishing; 
printing-stationery; Printing  Stationery; 
printing-and-publishing; Printing And Publishing; 
railways-wagons; Railways Wagons; 
ratings; Ratings; 
real-estate-operations; Real Estate Operations; 
real-estate-rental-development-operations; Real Estate Rental, Development  Operations; 
refineries; Refineries; 
refractories; Refractories; 
reinsurance; Reinsurance; 
renewables; Renewables; 
retailing; Retailing; 
rubber-products; Rubber Products; 
ship-building; Ship Building; 
shipping; Shipping; 
software; Software; 
solvent-extraction; Solvent Extraction; 
speciality-chemicals; Speciality Chemicals; 
speciality-retailers; Speciality Retailers; 
specialty-mining-metals; Specialty Mining  Metals; 
sugar; Sugar; 
teacoffee; Tea/Coffee; 
telecommunication-equipment; Telecommunication - Equipment; 
telecommunication-service-provider; Telecommunication - Service Provider; 
telecommunications-services; Telecommunications Services; 
textile-machinery; Textile - Machinery; 
textile-spinning; Textile - Spinning; 
textiles; Textiles; 
textiles-apparel; Textiles  Apparel; 
trading; Trading; 
transmission-towers-equipments; Transmission Towers / Equipments; 
transport-infrastructure; Transport Infrastructure; 
travel-services; Travel Services; 
tv-broadcasting-software-production; TV Broadcasting  Software Production; 
vegetable-oils-products; Vegetable Oils  Products; 
watches-accessories; Watches  Accessories; 
wood-wood-products; Wood  Wood Products; 			
